,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
62,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,3825028,195490,2022-04-29,2022-04-29 18:10:06
63,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,43769431,2482921,2022-04-29,2022-04-29 18:10:09
64,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1313011,36752,2022-04-29,2022-04-29 18:10:14
65,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,53161213,2302778,2022-04-29,2022-04-29 18:10:19
66,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,5400417,123449,2022-04-29,2022-04-29 18:10:23
67,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2671549,29481,2022-04-29,2022-04-29 18:10:28
68,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,1825501,127609,2022-04-29,2022-04-29 18:10:34
69,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,813436,53547,2022-04-29,2022-04-29 18:10:40
70,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,178315,5479,2022-04-29,2022-04-29 18:10:42
71,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,9951313,358451,2022-04-29,2022-04-29 18:10:49
72,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,10018502,499596,2022-04-29,2022-04-29 18:10:52
73,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,35164000,1650089,2022-04-29,2022-04-29 18:10:55
74,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,18977928,860717,2022-04-29,2022-04-29 18:10:58
75,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1380040,43429,2022-04-29,2022-04-29 18:11:01
76,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,3890418,84042,2022-04-29,2022-04-29 18:11:06
77,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1786605,21177,2022-04-29,2022-04-29 18:11:09
78,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,91018090,3575969,2022-04-29,2022-04-29 18:11:15
79,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,133686630,1115553,2022-04-29,2022-04-29 18:11:20
80,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,57130829,1067663,2022-04-29,2022-04-29 18:11:23
81,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,247716,7529,2022-04-29,2022-04-29 18:11:26
82,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2368926,86346,2022-04-29,2022-04-29 18:11:29
83,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,279433,8468,2022-04-29,2022-04-29 18:11:35
84,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6220,218,2022-04-29,2022-04-29 18:11:38
85,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,15133,180,2022-04-29,2022-04-29 18:11:41
86,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,152526,1837,2022-04-29,2022-04-29 18:11:44
87,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,387260,5725,2022-04-29,2022-04-29 18:11:47
88,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1192815,42802,2022-04-29,2022-04-29 18:11:53
89,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,91595,2707,2022-04-29,2022-04-29 18:11:58
90,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1816038939,10946077,2022-04-30,2022-04-30 16:13:41
91,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,18215133,498915,2022-04-30,2022-04-30 16:13:46
92,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,3942486,199258,2022-04-30,2022-04-30 16:13:49
93,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,44125650,2492948,2022-04-30,2022-04-30 16:13:52
94,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1376311,37837,2022-04-30,2022-04-30 16:13:57
95,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,53343420,2306197,2022-04-30,2022-04-30 16:14:01
96,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,5619927,126446,2022-04-30,2022-04-30 16:14:04
97,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2700679,29798,2022-04-30,2022-04-30 16:14:10
98,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,1920117,131617,2022-04-30,2022-04-30 16:14:13
99,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,833405,57139,2022-04-30,2022-04-30 16:14:19
100,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,191729,5698,2022-04-30,2022-04-30 16:14:22
101,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,10731479,373149,2022-04-30,2022-04-30 16:14:26
102,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,10546662,512080,2022-04-30,2022-04-30 16:14:29
103,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,35483080,1656396,2022-04-30,2022-04-30 16:14:33
104,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,19079158,863049,2022-04-30,2022-04-30 16:14:36
105,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1401615,43968,2022-04-30,2022-04-30 16:14:39
106,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,4080815,88252,2022-04-30,2022-04-30 16:14:44
107,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1888062,21953,2022-04-30,2022-04-30 16:14:47
108,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,93127111,3616842,2022-04-30,2022-04-30 16:14:51
109,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,134191369,1118532,2022-04-30,2022-04-30 16:14:54
110,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,57282297,1068895,2022-04-30,2022-04-30 16:14:58
111,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,272579,8116,2022-04-30,2022-04-30 16:15:01
